row_type,flow_id,step,x,y0,y1,node_x0,node_x1,node_y0,node_y1,label_x,label_y,publisher,genre,game_count,publisher_visible_total,publisher_full_total,publisher_top10_coverage_percent,publisher_visible_share_percent,genre_visible_total
flow,8,9,0.332,2282.392,2346.392,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,10,0.36,2522.3992,2586.3992,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,11,0.388,2774.7355,2838.7355,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,12,0.416,3036.9351,3100.9351,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,13,0.444,3306.5322,3370.5322,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,14,0.472,3581.061,3645.061,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,15,0.5,3858.0556,3922.0556,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,16,0.528,4135.0501,4199.0501,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,17,0.556,4409.5789,4473.5789,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,18,0.584,4679.176,4743.176,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,19,0.612,4941.3756,5005.3756,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,20,0.64,5193.7119,5257.7119,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,21,0.668,5433.7191,5497.7191,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,22,0.696,5658.9313,5722.9313,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,23,0.724,5866.8827,5930.8827,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,24,0.752,6055.1076,6119.1076,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,25,0.78,6221.1399,6285.1399,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
flow,8,26,0.808,6362.514,6426.514,,,,,,,Sega,Puzzle,64,1311,1486,88.2,4.88,566
