platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
5,PS4,PlayStation 4,Fighting,,15.51,2.87,0.23,539.92,8.17,908,2878,31.5,84.5327,90.4352,24.0259,28.0037,70.8136,100.0,0,28.0037,23.479
5,PS4,PlayStation 4,Platform,,14.78,2.74,0.22,539.92,8.17,908,2878,31.5,90.4352,94.9153,18.6375,23.6315,70.8136,100.0,0,28.0037,22.3739
5,PS4,PlayStation 4,Misc,,12.94,2.4,0.2,539.92,8.17,908,2878,31.5,90.4352,94.9153,23.6315,28.0037,70.8136,100.0,0,28.0037,19.5885
5,PS4,PlayStation 4,Adventure,,11.97,2.22,0.18,539.92,8.17,908,2878,31.5,94.9153,100.0,18.6375,22.2012,70.8136,100.0,0,28.0037,18.1201
5,PS4,PlayStation 4,Simulation,,6.48,1.2,0.1,539.92,8.17,908,2878,31.5,94.9153,97.6749,22.2012,25.756,70.8136,100.0,0,28.0037,9.8094
5,PS4,PlayStation 4,Music,,5.46,1.01,0.08,539.92,8.17,908,2878,31.5,97.6749,100.0,22.2012,25.756,70.8136,100.0,0,28.0037,8.2653
5,PS4,PlayStation 4,MMO,,3.63,0.67,0.05,539.92,8.17,908,2878,31.5,94.9153,97.36,25.756,28.0037,70.8136,100.0,0,28.0037,5.4951
5,PS4,PlayStation 4,Strategy,,1.62,0.3,0.02,539.92,8.17,908,2878,31.5,97.36,99.1312,25.756,27.1405,70.8136,100.0,0,28.0037,2.4523
5,PS4,PlayStation 4,Puzzle,,1.01,0.19,0.02,539.92,8.17,908,2878,31.5,97.36,99.1312,27.1405,28.0037,70.8136,100.0,0,28.0037,1.5289
5,PS4,PlayStation 4,Party,,0.71,0.13,0.01,539.92,8.17,908,2878,31.5,99.1312,100.0,25.756,26.9931,70.8136,100.0,0,28.0037,1.0748
5,PS4,PlayStation 4,Visual Novel,,0.58,0.11,0.01,539.92,8.17,908,2878,31.5,99.1312,100.0,26.9931,28.0037,70.8136,100.0,0,28.0037,0.878
6,Wii,Nintendo Wii,Misc,Misc,122.52,26.67,1.85,459.44,6.95,1357,1676,81.0,41.285,55.0211,28.0037,41.5062,41.285,70.6831,28.0037,51.6617,185.4703
6,Wii,Nintendo Wii,Sports,Sports,92.15,20.06,1.39,459.44,6.95,1357,1676,81.0,41.285,55.0211,41.5062,51.6617,41.285,70.6831,28.0037,51.6617,139.4963
6,Wii,Nintendo Wii,Action,Action,63.55,13.83,0.96,459.44,6.95,1357,1676,81.0,55.0211,65.1218,28.0037,37.528,41.285,70.6831,28.0037,51.6617,96.2017
6,Wii,Nintendo Wii,Adventure,,34.99,7.62,0.53,459.44,6.95,1357,1676,81.0,65.1218,70.6831,28.0037,37.528,41.285,70.6831,28.0037,51.6617,52.9677
6,Wii,Nintendo Wii,Simulation,,31.6,6.88,0.48,459.44,6.95,1357,1676,81.0,55.0211,61.1164,37.528,45.3759,41.285,70.6831,28.0037,51.6617,47.836
