Name,Platform,Year_of_Release,Genre,User_Score,User_Count
Mortal Kombat,PS3,2011.0,Fighting,8.4,494.0
Madden NFL 10,X360,2009.0,Sports,6.1,90.0
BioShock,X360,2007.0,Shooter,8.9,2249.0
Metroid Prime,GC,2002.0,Shooter,9.3,747.0
Assassin's Creed: Brotherhood,PS3,2010.0,Action,8.2,791.0
Finding Nemo,GBA,2003.0,Action,7.0,8.0
Medal of Honor,PS3,2010.0,Shooter,7.5,286.0
Imagine: Fashion Designer,DS,2007.0,Simulation,7.6,7.0
inFAMOUS: Second Son,PS4,2014.0,Action,7.9,2944.0
NBA Street,PS2,2001.0,Sports,8.6,39.0
Jak II,PS2,2003.0,Platform,8.2,241.0
Need for Speed: Hot Pursuit,PS3,2010.0,Racing,7.2,301.0
Skylanders: Spyro's Adventure,Wii,2011.0,Action,5.6,31.0
Battlefield 3,PC,2011.0,Shooter,7.5,4926.0
Mortal Kombat X,PS4,2015.0,Fighting,7.7,836.0
The Sims,PS2,2003.0,Simulation,7.7,46.0
Killzone 3,PS3,2011.0,Shooter,7.9,942.0
Star Wars: The Force Unleashed,X360,2008.0,Action,6.7,389.0
Yoshi's Island DS,DS,2006.0,Platform,7.4,67.0
Saints Row: The Third,X360,2011.0,Action,7.6,490.0
Tekken 6,PS3,2009.0,Fighting,7.4,211.0
Sonic and the Secret Rings,Wii,2007.0,Platform,6.6,174.0
FIFA 16,PS3,2015.0,Sports,3.2,58.0
The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,9.1,314.0
Onimusha: Warlords,PS2,2001.0,Action,8.2,56.0
L.A. Noire,X360,2011.0,Adventure,7.8,893.0
Call of Duty 3,X360,2006.0,Shooter,6.5,233.0
Madden NFL 12,X360,2011.0,Sports,5.9,94.0
LEGO Star Wars II: The Original Trilogy,PS2,2006.0,Action,9.0,41.0
Killzone: Shadow Fall,PS4,2013.0,Shooter,6.8,2102.0
Madden NFL 11,X360,2010.0,Sports,5.7,120.0
Burnout 3: Takedown,PS2,2004.0,Racing,9.1,271.0
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010.0,Puzzle,7.7,18.0
Professor Layton and the Last Specter,DS,2009.0,Puzzle,8.7,52.0
Call Of Duty 2: Big Red One,PS2,2005.0,Shooter,8.2,69.0
Medal of Honor,PS,1998.0,Shooter,8.6,80.0
Fable,XB,2004.0,Role-Playing,8.5,268.0
FIFA 17,XOne,2016.0,Sports,5.5,201.0
Hannah Montana,DS,2006.0,Action,6.7,10.0
Tom Clancy's Splinter Cell,PS2,2003.0,Action,7.7,102.0
Need for Speed: Shift,PS3,2009.0,Racing,6.9,113.0
Medal of Honor Heroes,PSP,2006.0,Shooter,7.9,47.0
Final Fantasy XIII-2,PS3,2011.0,Role-Playing,6.6,707.0
Midnight Club: Street Racing,PS2,2000.0,Racing,7.8,21.0
Skate 3,X360,2010.0,Sports,8.0,127.0
ESPN NFL 2K5,PS2,2004.0,Sports,8.2,84.0
Halo Wars,X360,2009.0,Strategy,7.2,454.0
NBA 2K12,X360,2011.0,Sports,7.7,134.0
FIFA Soccer 10,X360,2009.0,Sports,7.5,133.0
Medal of Honor,X360,2010.0,Shooter,6.7,288.0
Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,7.6,49.0
God of War Collection,PS3,2009.0,Action,8.7,529.0
NBA Live 2005,PS2,2004.0,Sports,8.1,44.0
Mario Strikers Charged,Wii,2007.0,Sports,8.0,124.0
FIFA Soccer 09,PS3,2008.0,Sports,7.5,108.0
Style Savvy,DS,2008.0,Simulation,7.7,7.0
WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,8.6,57.0
LEGO Star Wars: The Complete Saga,X360,2007.0,Action,7.4,114.0
Madden NFL 08,PS2,2007.0,Sports,7.8,17.0
Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,8.7,83.0
Sonic Adventure 2 Battle,GC,2001.0,Platform,8.3,179.0
Madden NFL 13,PS3,2012.0,Sports,5.5,101.0
Dragon Age: Origins,X360,2009.0,Role-Playing,7.9,725.0
Pokémon Colosseum,GC,2003.0,Role-Playing,8.0,89.0
LittleBigPlanet,PSP,2009.0,Platform,7.8,98.0
Madden NFL 09,X360,2008.0,Sports,7.0,125.0
Crazy Taxi,PS2,2001.0,Racing,7.9,46.0
NBA 2K14,X360,2013.0,Sports,4.9,150.0
Skylanders Giants,Wii,2012.0,Action,7.0,20.0
Deca Sports,Wii,2008.0,Sports,5.4,16.0
Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,7.5,120.0
Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,8.8,96.0
Bloodborne,PS4,2015.0,Action,8.6,6383.0
Pure,X360,2008.0,Racing,7.7,83.0
NBA 2K13,PS3,2012.0,Sports,8.0,99.0
Saints Row: The Third,PS3,2011.0,Action,7.7,384.0
Resistance 2,PS3,2008.0,Shooter,6.1,1889.0
NBA 2K15,PS4,2014.0,Sports,7.0,291.0
Final Fantasy Tactics,PS,1997.0,Role-Playing,8.2,190.0
Midnight Club: Los Angeles,PS3,2008.0,Racing,8.2,100.0
The Sims: Bustin' Out,PS2,2003.0,Simulation,8.4,42.0
LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,8.0,34.0
Call of Duty: Infinite Warfare,XOne,2016.0,Shooter,3.1,290.0
Madden NFL 16,XOne,2015.0,Sports,6.1,124.0
Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,7.8,176.0
Need for Speed Carbon: Own the City,PSP,2006.0,Racing,7.9,39.0
Dragon Ball Z: Budokai 2,PS2,2003.0,Fighting,8.2,92.0
pro evolution soccer 2011,PS3,2010.0,Sports,6.8,85.0
ATV Offroad Fury,PS2,2001.0,Racing,8.4,53.0
Need for Speed: ProStreet,PS2,2007.0,Racing,6.2,34.0
Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,8.1,487.0
Theme Hospital,PC,1997.0,Strategy,9.0,90.0
Madden NFL 11,PS3,2010.0,Sports,6.1,68.0
